__sinit_\d_enemy_toride_kokoopa_cpp	0x800AED40	5784	5784B_200diffs
executeState_AttackReady__18dEnTorideKokoopa_cFv	0x800AC240	208	0-B-UNWRITTEN
calcAttackTarget__18dEnTorideKokoopa_cFv	0x800AA2A0	204	0-B-UNWRITTEN
executeState_DemoAwake__18dEnTorideKokoopa_cFv	0x800AE670	204	0-B-UNWRITTEN
executeState_Jump_St__18dEnTorideKokoopa_cFv	0x800AB920	200	16B_50diffs
executeState_BigJump_St__18dEnTorideKokoopa_cFv	0x800ABCE0	200	0-B-UNWRITTEN
executeState_AttackBegin__18dEnTorideKokoopa_cFv	0x800AC3A0	200	0-B-UNWRITTEN
initializeState_FireHit__18dEnTorideKokoopa_cFv	0x800ACF20	196	0-B-UNWRITTEN
initializeState_DemoAwake_Wait__18dEnTorideKokoopa_cFv	0x800AE750	196	0-B-UNWRITTEN
initializeState_DemoIkaku_Wait__18dEnTorideKokoopa_cFv	0x800AEAA0	196	0-B-UNWRITTEN
setQuakeDamage__18dEnTorideKokoopa_cFv	0x800A99D0	188	0-B-UNWRITTEN
calcJumpRate__18dEnTorideKokoopa_cFv	0x800A9FC0	188	0-B-UNWRITTEN
movelimitCheck__18dEnTorideKokoopa_cFf	0x800AA090	188	0-B-UNWRITTEN
initializeState_StarHit__18dEnTorideKokoopa_cFv	0x800AD090	188	0-B-UNWRITTEN
initializeState_SlideHit__18dEnTorideKokoopa_cFv	0x800AD250	188	0-B-UNWRITTEN
initializeState_ShellHit__18dEnTorideKokoopa_cFv	0x800AD3A0	188	0-B-UNWRITTEN
checkDownJump__18dEnTorideKokoopa_cFv	0x800AB590	180	0-B-UNWRITTEN
initializeState_LandOn__18dEnTorideKokoopa_cFv	0x800ABFD0	172	0-B-UNWRITTEN
isQuakeDamage__18dEnTorideKokoopa_cFv	0x800A9090	164	0-B-UNWRITTEN
isShootBlitz__18dEnTorideKokoopa_cCFv	0x800AB700	164	0-B-UNWRITTEN
executeState_Jump__18dEnTorideKokoopa_cFv	0x800ABB90	160	0-B-UNWRITTEN
executeState_BigJump__18dEnTorideKokoopa_cFv	0x800ABF30	160	0-B-UNWRITTEN
initializeState_AttackEnd__18dEnTorideKokoopa_cFv	0x800ACA40	156	0-B-UNWRITTEN
initializeState_Attack__18dEnTorideKokoopa_cFv	0x800AC7A0	152	0-B-UNWRITTEN
isCreateBlitz__18dEnTorideKokoopa_cCFv	0x800AB650	148	0-B-UNWRITTEN
initializeState_Jump_St__18dEnTorideKokoopa_cFv	0x800AB870	148	0-B-UNWRITTEN
initializeState_BigJump_St__18dEnTorideKokoopa_cFv	0x800ABC30	148	0-B-UNWRITTEN
blitzMove__18dEnTorideKokoopa_cFP8dActor_c	0x800AA6A0	144	0-B-UNWRITTEN
executeState_FireHit__18dEnTorideKokoopa_cFv	0x800AD000	144	0-B-UNWRITTEN
calcBlitzPos__18dEnTorideKokoopa_cFv	0x800A8FE0	140	0-B-UNWRITTEN
lockonTurn__18dEnTorideKokoopa_cFv	0x800AA370	140	0-B-UNWRITTEN
setAtkCnt__18dEnTorideKokoopa_cFv	0x800AA540	140	0-B-UNWRITTEN
initializeState_AttackReady__18dEnTorideKokoopa_cFv	0x800AC1A0	132	0-B-UNWRITTEN
calcLookAngle__18dEnTorideKokoopa_cFv	0x800AA400	124	0-B-UNWRITTEN
executeState_StarHit__18dEnTorideKokoopa_cFv	0x800AD160	124	0-B-UNWRITTEN
executeState_SlideHit__18dEnTorideKokoopa_cFv	0x800AD320	124	0-B-UNWRITTEN
executeState_ShellHit__18dEnTorideKokoopa_cFv	0x800AD470	124	0-B-UNWRITTEN
wandCcCallback__18dEnTorideKokoopa_cFP5dCc_cP5dCc_c	0x800AA220	120	0-B-UNWRITTEN
executeState_DemoAwake_Wait__18dEnTorideKokoopa_cFv	0x800AE830	120	0-B-UNWRITTEN
executeState_DemoIkaku_Wait__18dEnTorideKokoopa_cFv	0x800AEB80	120	0-B-UNWRITTEN
initializeState_AttackBegin__18dEnTorideKokoopa_cFv	0x800AC310	116	0-B-UNWRITTEN
calcDirAngle__18dEnTorideKokoopa_cFs	0x800AA620	108	0-B-UNWRITTEN
shellBumMarEffect__18dEnTorideKokoopa_cFv	0x800AAB80	104	0-B-UNWRITTEN
executeState_DemoWait__18dEnTorideKokoopa_cFv	0x800AE510	100	0-B-UNWRITTEN
isTorideBoss__18dEnTorideKokoopa_cFv	0x800AA7F0	96	0-B-UNWRITTEN
getFumiRev__12FumiCcInfo_cFv	0x800B07B0	80	0-B-UNWRITTEN
hitCallback_PenguinSlide__18dEnTorideKokoopa_cFP5dCc_cP5dCc_c	0x800A9140	76	0-B-UNWRITTEN
initializeState_QuakeHit__18dEnTorideKokoopa_cFv	0x800AD1E0	76	0-B-UNWRITTEN
__dt__21MugenComboFumiCheck_cFv	0x800B09E0	64	0-B-UNWRITTEN
operate__21MugenComboFumiCheck_cFRiP5dEn_cR12FumiCcInfo_c	0x800B0800	60	0-B-UNWRITTEN
getTurnSpeed__18dEnTorideKokoopa_cFv	0x800AA5E0	52	0-B-UNWRITTEN
